taxon id,taxon name,LJ_2017_033.gz,LJ_2017_035.gz,LJ_2017_036.gz,LJ_2017_039.gz,LJ_2017_040.gz,PS1_P1.gz,PS1_P2.gz,Rhizo_P1.gz,Rhizo_P2.gz
1314807,Dendrothele bispora CBS 962.96,7355,5134,3408,5652,22111,12018,9423,16287,20150
448385,Sorangium cellulosum So ce56,5502,5065,2437,5687,5635,37653,7092,21370,10071
1073090,Penicilliopsis zonata CBS 506.65,8563,8466,2766,5467,8438,23800,7405,24883,9881
525897,Desulfomicrobium baculatum DSM 4028,526,363,161,571,465,284,81508,634,13656
1072389,Marssonina brunnea f. sp. 'multigermtubi' MB_m1,8696,7391,3507,8852,7949,4714,7267,14572,32072
685588,Galerina marginata CBS 339.88,5269,4427,3217,4821,49264,4219,3859,6213,4902
471874,Providencia stuartii ATCC 25827,23165,20257,2984,13744,5201,1941,8408,4902,5296
988480,Rozella allomycis CSF55,9870,9352,4649,9472,9044,7176,4924,18086,10891
280463,Emiliania huxleyi CCMP1516,3768,3032,1337,2963,2403,21957,4925,17690,22697
1314781,Exidia glandulosa HHB12029,8106,7430,3779,7140,11236,7835,5489,14332,15096
1448314,Aspergillus eucalypticola CBS 122712,10570,7163,3441,7792,9889,4689,4929,21237,10122
1440053,Streptomyces scopuliridis RB72,2528,2264,897,2285,2353,48279,2078,14981,4091
985895,Leptosphaeria maculans JN3,16556,10407,4627,10475,15280,6147,4134,6781,4788
413071,Trichoderma virens Gv29-8,20737,12968,7957,13708,12201,1460,1436,5708,2217
1314771,Linnemannia elongata AG-77,14339,12813,7811,8992,11591,4870,3763,5187,8311
936435,Serpula lacrymans var. lacrymans S7.3,8139,5236,3270,5064,24442,2521,2417,5579,19967
1068978,Amycolatopsis methanolica 239,1646,1208,13967,1551,1351,5298,6526,27096,17710
669874,Pachysolen tannophilus NRRL Y-2460,9563,5751,2927,6505,6606,5181,2583,34850,2373
1395130,Massarina eburnea CBS 473.64,14625,12124,5776,9841,13388,3398,3882,5940,3826
1247875,Emmonsia crescens UAMH 3008,13989,15369,8815,12910,9163,3275,2273,3082,3175
378806,Stigmatella aurantiaca DW4/3-1,6224,5412,2014,5625,5261,15856,6000,15766,9349
1095630,Hyaloscypha bicolor E,7184,6220,3496,6679,7456,7410,6727,10491,13733
1537102,Theileria equi strain WA,16591,11710,6515,7379,11218,1813,831,10701,1464
1340428,Sporormia fimetaria CBS 119925,3760,3775,1560,3483,3286,3386,34562,3966,9425
500638,Edwardsiella tarda ATCC 23685,580,418,145,504,516,238,54013,447,9730
1165861,Puccinia striiformis f. sp. tritici PST-78,13275,10282,4568,9495,7978,5711,2636,6383,4398
721885,Stereum hirsutum FP-91666 SS1,1020,767,293,795,1816,5312,4257,17858,31598
1392248,Aspergillus campestris IBT 28561,9149,5825,3022,5703,8637,3978,5055,9933,11094
428125,[Clostridium] leptum DSM 753,16912,14479,2367,10201,4190,1471,5570,3117,3523
597362,Agaricus bisporus var. burnettii JB137-S8,4461,3983,2170,3554,11060,2645,2917,5544,25073
933084,Jaapia argillacea MUCL 33604,8498,6226,3690,6836,10485,7065,4286,6818,6944
1306952,Pediococcus acidilactici D3,9004,2083,937,3182,14529,20843,4059,2269,2414
573729,Thermothelomyces thermophilus ATCC 42464,9877,12290,4613,8103,9872,3965,1958,3944,4401
742152,Wolfiporia cocos MD-104 SS10,7226,5313,3190,6767,5589,6423,4263,6703,12372
1137138,Pleurotus ostreatus PC15,7183,5245,2552,5202,7586,5600,3257,8000,12137
1408157,Coniochaeta ligniaria NRRL 30616,7153,5810,2569,5782,7420,5957,4915,8003,8591
1109443,Serendipita indica DSM 11827,3944,4605,2438,4172,5832,7281,6146,12478,7591
766138,Shigella boydii 965-58,14813,13281,2113,8444,3321,1144,5077,3009,3178
1331668,Streptomyces sparsogenes DSM 40356,5453,6061,2305,5843,5347,5980,4918,9155,8998
930990,Botryobasidium botryosum FD-172 SS1,4925,4199,2060,5164,5102,7396,4142,13419,7103
1408161,Plenodomus tracheiphilus IPT5,8732,5253,2231,5581,6856,4038,9005,4830,6596
1003195,Streptomyces cattleya NRRL 8057 = DSM 46488,6453,5785,2271,7030,7028,5489,4819,8765,5044
749414,Streptomyces bingchenggensis BCW-1,3623,2948,19598,4035,3600,4049,2798,7344,4386
1403943,Escherichia coli DORA_A_5_14_21,13411,13882,2100,8583,3495,1389,4299,2342,2781
1081613,Streptomyces albus subsp. albus DSM 41398,5220,4771,1814,5675,5963,7981,4813,8955,7050
1168545,Lentithecium fluviatile CBS 122367,5304,3796,1649,4463,9823,6525,3400,6234,9523
1123362,Thalassobaculum litoreum DSM 18839,2021,1785,781,2160,2124,18924,2408,17896,2580
1150469,Pararhodospirillum photometricum DSM 122,9610,6298,1403,6664,3683,7282,4946,5859,4834
602072,Aspergillus carbonarius ITEM 5010,4430,4010,1936,4201,5051,6051,5625,9736,9046
457429,Streptomyces pristinaespiralis ATCC 25486,4122,3108,1172,3651,4205,4007,18665,4492,6628
766039,Acidomyces richmondensis BFW,4673,3963,1928,4197,5241,6559,4209,7855,11296
1160509,Ascobolus immersus RN42,4835,9269,2454,4778,4577,5810,4121,6537,6984
944288,Plicaturopsis crispa FD-325 SS-3,2611,1571,1733,1569,2639,5593,3545,18906,11191
882378,Mycetohabitans rhizoxinica HKI 454,972,991,377,1189,1176,19934,1748,21316,1204
1054862,Streptomyces bottropensis ATCC 25435,2374,3109,1281,4053,3332,13054,1974,15653,3029
1081108,Akanthomyces lecanii RCEF 1005,3102,2076,1729,3059,2532,12194,3010,15415,2791
644352,Gaeumannomyces tritici R3-111a-1,5174,5023,4148,4804,5232,3977,4078,7388,5472
1077442,Talaromyces marneffei PM1,4960,4297,2166,3935,5383,1769,2760,8002,11768
383855,Pseudocercospora fijiensis CIRAD86,2950,2467,1377,2525,2802,6343,6220,10995,9121
471853,Beutenbergia cavernae DSM 12333,8546,6987,2782,8444,8042,2776,1513,3586,1740
1450541,Aspergillus indologenus CBS 114.80,6654,7162,3606,5611,6873,1933,2236,5559,4288
765440,Piloderma croceum F 1598,5897,3838,2381,3964,4475,3798,5633,9809,4101
1314782,Neolentinus lepideus HHB14362 ss-1,6784,7042,4877,8673,6390,3011,1662,3051,2173
1265309,Epibacterium mobile F1926,593,481,203,558,428,14252,8449,10143,8513
1392243,Eremomyces bilateralis CBS 781.70,6042,3857,2163,4410,4606,6706,2477,7310,5415
1123029,Pseudoxanthobacter soli DSM 19599,2259,1784,645,2120,2369,8147,5931,8283,11108
1077974,Gordonia effusa NBRC 100432,4146,3602,1493,4827,5150,11260,1748,8268,2122
1314674,Cylindrobasidium torrendii FP15055 ss-10,7183,5784,2770,5444,7296,4601,2491,3313,3663
1095629,Laccaria amethystina LaAM-08-1,5273,4018,6170,3778,11097,2401,2396,4296,2879
1192034,Chondromyces apiculatus DSM 436,4749,4064,1667,4392,5314,5426,2984,9800,3712
1254432,Sorangium cellulosum So0157-2,3548,3277,1312,4086,3661,5455,4810,11772,4049
670483,Gloeophyllum trabeum ATCC 11539,1946,1713,1029,2234,2391,4727,2813,3457,21648
869754,Metschnikowia bicuspidata var. bicuspidata NRRL YB-4993,5005,4566,1546,3496,3999,6712,2512,7829,5857
240176,Coprinopsis cinerea okayama7#130,5581,5389,2235,5729,7770,2824,2468,4695,4554
1157616,Hortaea werneckii EXF-2000,4268,3749,1617,4594,5647,4789,5864,6644,4016
748671,Lactobacillus crispatus ST1,12954,8181,1233,6277,2536,817,4098,2582,2396
1122188,Lysobacter spongiicola DSM 21749,8514,7946,3386,7289,7994,1886,851,1722,1358
1292037,Amycolatopsis vancoresmycina DSM 44592,3687,3799,1549,5302,4586,8170,4664,5408,3368
1068625,Trypanosoma congolense IL3000,3302,3964,1797,2253,2447,14426,3435,5464,2814
445337,Clostridium botulinum C str. Eklund,11413,10493,1685,5640,2413,739,3297,2001,2179
450851,Phenylobacterium zucineum HLK1,1173,1220,443,1304,1419,9052,6158,12127,6673
1432307,Sclerotinia borealis F-4128,2490,2240,1170,2710,2761,5207,4618,9430,8822
665577,Streptomyces viridosporus T7A,7908,8105,1938,5613,11322,1467,642,2019,421
644358,Magnaporthiopsis poae ATCC 64411,6446,4629,1741,4273,4664,3324,2562,4003,6892
1146883,Blastococcus saxobsidens DD2,8928,7976,1994,5076,11390,681,543,967,662
479431,Nakamurella multipartita DSM 44233,6887,6402,2420,7715,8624,1917,866,2162,1122
338187,Vibrio campbellii ATCC BAA-1116,9614,10372,1678,5704,2410,978,3148,1812,2278
1314802,Melanomma pulvis-pyrius CBS 109.77,7527,5028,2042,5532,7049,2344,2294,3773,2397
1176127,Aplosporella prunicola CBS 121167,5202,4568,2198,5635,6418,3410,1958,3471,4758
1448308,Corynespora cassiicola Philippines,4581,4339,2015,4472,4775,3822,2920,6910,3754
1314786,Dissoconium aciculare CBS 342.82,7009,6045,2268,5763,5708,2623,1859,3067,3235
405948,Saccharopolyspora erythraea NRRL 2338,3501,3672,1905,3605,3541,3325,5511,6732,5424
990650,Sphaerobolus stellatus SS14,4153,4070,2200,3995,4451,4675,2814,5077,5513
703135,Amanita thiersii Skay4041,2919,2999,2041,2241,12694,2422,3653,4229,3531
1314788,Lophiostoma macrostomum CBS 122681,4643,4057,2104,5237,5101,4398,2725,4673,3591
1246995,Actinoplanes friuliensis DSM 7358,5376,4199,1426,4497,7013,3227,2426,4487,3735
675824,Lipomyces starkeyi NRRL Y-11557,4970,3871,1932,4344,4034,4447,4077,4880,3788
316067,Geobacter daltonii FRC-32,492,439,264,547,575,17096,2056,13162,1640
741705,Coniophora puteana RWD-64-598 SS2,6432,4817,1738,4501,4797,2664,2432,4128,4751
423536,Perkinsus marinus ATCC 50983,4517,4812,2835,3853,4208,4732,1508,4918,3919
457427,Streptomyces himastatinicus ATCC 53653,4945,4506,1508,4997,4514,3335,2489,6705,2186
391165,Granulibacter bethesdensis CGDNIH1,4180,4573,1638,4590,5275,2177,2060,6867,3820
1081102,Sporothrix insectorum RCEF 264,3960,4423,1427,3421,3667,4480,2567,5260,5916
1223523,Streptomyces mobaraensis NBRC 13819 = DSM 40847,3988,3646,1887,4657,4580,3410,2432,7042,3437
945553,Hypholoma sublateritium FD-334 SS-4,3737,4121,1698,3980,5013,3791,3981,4790,3785
1169330,Escherichia coli KTE10,9805,9535,1509,5739,2463,530,2451,1257,1593
680198,Streptomyces scabiei 87.22,4880,6014,1980,5080,6455,2547,1507,4281,2093
1299328,Mycobacterium kansasii 824,6580,7278,2067,5935,9537,632,662,1183,913
635003,Fragilariopsis cylindrus CCMP1102,5260,3915,1833,3086,4243,6974,2298,4507,2621
1314779,Zopfia rhizophila CBS 207.26,3408,3684,1734,3619,4139,3811,2661,4309,7228
1314773,Sodiomyces alkalinus F11,7074,5880,2788,5467,4482,1611,2242,2989,1924
1168221,Coniosporium apollinis CBS 100218,4152,3483,2971,3666,4060,3541,3399,3377,5422
278992,Streptomyces ambofaciens ATCC 23877,3361,3509,1314,3658,3409,6439,2358,7018,2933
537937,Bifidobacterium longum subsp. infantis CCUG 52486,8126,8273,1500,5619,3235,776,3019,1521,1908
1281218,Escherichia coli UMEA 3212-1,10303,9389,1378,5657,2410,421,2151,976,1226
1449976,Kutzneria albida DSM 43870,3414,2889,1198,3967,3714,10793,1475,4309,1956
1179773,Saccharothrix espanaensis DSM 44229,3690,3549,1475,4102,4221,4992,1950,6636,2552
1080233,Zasmidium cellare ATCC 36951,3280,2834,1635,3504,3306,5264,2109,6300,4840
1385369,Skermanella stibiiresistens SB22,3710,3438,3516,3528,3585,3487,2972,6077,2616
1117314,Pseudoalteromonas citrea DSM 8771,421,418,187,506,419,9176,3865,990,16445
1215087,Pseudomonas putida S12,17,22,20,52,20,7305,5238,11286,8278
1122184,Lutispora thermophila DSM 19022,359,208,98,254,306,1771,1435,17820,9936
1036808,Scleroderma citrinum Foug A,5006,4259,1810,4798,3890,3290,2246,4126,2514
630390,Puccinia triticina 1-1 BBBD Race 1,4077,3971,2057,3408,4289,2874,2380,4315,4553
745531,Phlebiopsis gigantea 11061_1 CR5-6,3522,3591,1499,3430,3619,4110,2828,4560,4651
717944,Trametes versicolor FP-101664 SS1,2334,617,561,836,3368,744,1378,4427,17536
1036611,Aspergillus versicolor CBS 583.65,4482,3907,1816,4648,4318,2757,3078,5044,1719
1450537,Aspergillus homomorphus CBS 101889,3195,2770,1453,3640,3468,3954,3438,5534,4180
1121922,Glaciecola pallidula DSM 14239 = ACAM 615,614,258,146,714,351,10065,2438,5632,11337
698759,Streptomyces ipomoeae 91-03,4119,3517,1617,4591,4193,3092,2368,4417,3593
1229662,Pestalotiopsis fici W106-1,3741,3218,1388,3545,3567,5104,2539,5142,3201
1395572,Streptomyces albulus PD-1,3553,3158,1257,3535,3990,2717,4698,6056,2336
1036612,Aspergillus sydowii CBS 593.65,4506,2751,1745,3172,3821,3408,2189,3816,5890
953739,Streptomyces venezuelae ATCC 10712,2787,2421,941,3234,3280,9705,2354,4252,2283
743788,Fomitopsis pinicola FP-58527 SS1,2662,4674,1285,3037,2961,4984,2252,6750,2602
675120,Dothistroma septosporum NZE10,3751,3078,1642,4031,4819,2856,3642,3431,3844
573060,Acidovorax delafieldii 2AN,495,595,298,654,571,12748,2503,7145,6010
670580,Postia placenta MAD-698-R-SB12,1426,1220,737,1243,1593,4176,2211,5744,12604
930171,Pseudarthrobacter phenanthrenivorans Sphe3,2072,1541,562,1890,2317,6764,2368,6580,6814
1343740,Streptomyces rapamycinicus NRRL 5491,4957,4810,1782,4533,6329,2001,1404,3154,1863
717836,Cercospora zeae-maydis SCOH1-5,4865,6009,2358,6549,6126,1205,789,1620,1181
771870,Sordaria macrospora k-hell,2285,1993,1241,2560,2463,5376,2390,10440,1817
560819,Tistlia consotensis USBA 355,2159,2128,907,2483,2462,8592,2716,7170,1948
1081109,Moelleriella libera RCEF 2490,2382,2378,947,2330,2684,2285,3105,6024,8352
403673,Batrachochytrium dendrobatidis JEL423,5249,4647,2775,6533,4957,1555,948,2566,1146
316280,Streptomyces peucetius subsp. caesius ATCC 27952,4932,4142,2797,4092,4133,2666,1561,3281,2767
1001064,Rhodotorula toruloides ATCC 204091,3775,9710,1512,8140,4752,539,613,712,605
1447943,Bimuria novae-zelandiae CBS 107.79,3726,2821,1314,4535,4000,3239,2382,3752,4265
1042311,Trichoderma asperellum CBS 433.97,4550,6631,2488,5237,4565,1662,1151,2257,1484
443218,Hoyosella subflava DQS3-9A1,2055,1469,621,1928,1620,2647,3345,6454,9635
1043002,Aureobasidium pullulans EXF-150,3026,2751,1317,3161,3119,4883,2852,4041,4560
732165,Dichomitus squalens LYAD-421 SS1,1949,1840,649,1654,1759,4196,4617,6297,6639
1263415,Endocarpon pusillum Z07020,2869,2741,1218,2942,3270,3357,2520,7736,2857
341663,Aspergillus terreus NIH2624,3442,4115,6271,3143,3687,2264,2089,2853,1613
946483,Candidatus Symbiobacter mobilis CR,4413,5728,2240,4829,5029,1903,1057,2711,1285
661478,Fimbriimonas ginsengisoli Gsoil 348,1365,1246,1147,1610,2098,4405,3147,7596,6503
1032480,Microlunatus phosphovorus NM-1,3990,3374,1314,4431,4403,2760,1814,3526,3389
502025,Haliangium ochraceum DSM 14365,3201,2503,1157,3006,4076,3828,2316,5063,3794
1286094,Streptomyces aurantiacus JA 4570,4196,3315,1389,4313,4082,2697,2170,3885,2894
312017,Tetrahymena thermophila SB210,2930,2301,1118,2340,2581,2465,8649,2986,3379
1448320,Aspergillus ellipticus CBS 707.79,3081,4198,2168,3408,3123,3904,1666,3803,3265
1126212,Macrophomina phaseolina MS6,3199,3885,2068,3427,3508,2906,2283,3809,3364
559515,Hyaloperonospora arabidopsidis Emoy2,2728,8146,7065,4543,3161,319,424,1688,334
671987,Exserohilum turcica Et28A,3669,2455,1356,2575,3265,3298,2033,6891,2746
1273125,Rhodococcus rhodnii LMG 5362,1687,1615,758,2047,1843,3272,4527,6158,6353
566461,Streptomyces viridosporus ATCC 14672,4517,3265,1053,3792,3365,4377,1157,5046,1683
1330018,Calocera viscosa TUFC12733,3238,2510,1510,2710,3642,2678,2274,6191,3448
578458,Schizophyllum commune H4-8,2893,2734,2065,2810,2881,2991,2740,3628,5287
1150864,Micromonospora lupini str. Lupac 08,4667,4391,1401,3179,5021,2545,1025,3864,1827
944289,Gymnopus luxurians FD-317 M1,2850,2613,1164,2829,6587,3557,1512,3504,2899
749539,Escherichia coli MS 117-3,7240,6989,1021,4399,1843,591,2466,1293,1546
1043627,Hirsutella minnesotensis 3608,3044,2859,1380,3027,3270,2638,2765,3489,4897
1169474,Chromera velia CCMP2878,3486,3552,1807,3601,3948,3031,1962,3097,2579
930991,Paxillus rubicundulus Ve08.2h10,2104,1749,932,2130,2072,3850,4599,5178,4439
1144883,Streptomyces pharetrae CZA14,3075,2741,1133,3012,3173,2570,1329,4740,5246
1134510,Bartonella koehlerae C-29,4074,3756,1389,3428,4750,2571,1926,2383,2679
321614,Parastagonospora nodorum SN15,3974,3277,1306,2684,3109,2913,2037,4566,2987
1238182,Caenispirillum salinarum AK4,2580,2319,1107,2950,2619,4382,2582,4722,3448
391625,Plesiocystis pacifica SIR-1,3461,2857,1120,3616,3853,3014,1686,3454,3583
756982,Arthrobotrys oligospora ATCC 24927,5042,3864,1720,3535,4874,1884,1442,3158,1093
479433,Catenulispora acidiphila DSM 44928,2948,2215,1025,3807,3817,2947,2099,3739,3775
1073089,Aspergillus wentii DTO 134E9,2814,2723,1115,2452,2581,4051,2567,4435,3599
670307,Hyphomicrobium denitrificans 1NES1,3177,3036,1060,3298,3576,1513,4611,2474,3489
1220924,Cyphellophora europaea CBS 101466,2313,1919,844,2183,2402,5270,2880,4794,3611
684364,Batrachochytrium dendrobatidis JAM81,2901,3800,3866,3956,3628,1359,2061,3110,1532
747525,Heterobasidion irregulare TC 32-1,3918,3222,1625,3384,3993,2683,1771,3353,2235
671144,Wallemia mellicola CBS 633.66,5114,2559,1465,3164,2788,2261,1470,3656,3703
983644,Cordyceps militaris CM01,3006,2970,1783,2965,3255,3130,2308,3753,2961
1214101,Streptomyces davaonensis JCM 4913,3735,2353,936,2771,2609,3108,2311,4721,3428
1423761,Lactobacillus intestinalis DSM 6629,28,16,25683,48,22,22,33,55,29
1076935,Pyronema omphalodes CBS 100304,3766,5077,1356,3151,3820,2388,1414,2500,2462
243090,Rhodopirellula baltica SH 1,4232,4793,1058,4158,4428,1447,1578,2080,2096
1081103,Metarhizium album ARSEF 1941,2530,2670,1432,2188,2613,1990,4541,2605,5221
700597,Streptomyces zinciresistens K42,3933,3609,1226,3729,3956,2556,1482,3709,1582
1353952,Calocera cornea HHB12733,2859,2832,1360,2509,3226,3712,1863,4123,3148
1262450,Ophiostoma piceae UAMH 11346,3649,3677,1806,3617,4627,1943,1651,2895,1700
1450172,Aaosphaeria arxii CBS 175.79,3143,3022,1749,3464,3492,2551,2221,3023,2711
1283301,Streptomyces afghaniensis 772,2749,2475,1047,3249,3170,2986,1718,5341,2627
765257,Pisolithus microcarpus 441,2057,1657,913,2291,2098,2195,3004,8428,2692
452637,Opitutus terrae PB90-1,1148,1677,514,1271,1120,8518,1975,5234,3847
1339337,Bacteroides fragilis str. 1007-1-F #3,7344,7029,1016,3417,1535,447,2105,1068,1248
1314783,Daedalea quercina L-15889,2264,2255,1025,2109,2368,2079,2550,5851,4665
1081105,Metarhizium rileyi RCEF 4871,2637,2328,1471,2830,2648,2939,1634,3777,4864
426428,Fusarium oxysporum f. sp. lycopersici 4287,725,4770,932,1505,4327,529,5172,826,6321
698760,Streptomyces turgidiscabies Car8,3633,3111,1198,3738,3705,2401,1586,3479,2220
442562,Rubellimicrobium mesophilum DSM 19309,4754,3975,1304,3454,4489,1641,980,3122,1292
1356009,Byssochlamys spectabilis No. 5,2721,2817,1627,3086,3496,2527,1962,2430,4134
237631,Ustilago maydis 521,3358,3879,1690,4579,3204,1818,1839,2372,2051
1110697,Nocardia asteroides NBRC 15531,5859,3748,1124,4579,4177,1010,1466,1668,1151
486041,Laccaria bicolor S238N-H82,3127,3139,2070,2974,4840,1890,1562,2574,2555
1348663,Kitasatospora cheerisanensis KCTC 2395,3122,2941,1184,2946,3222,2832,1543,3729,3057
664439,Paxillus involutus ATCC 200175,3211,2616,1220,2850,3520,2074,1744,4411,2791
650164,Phanerochaete carnosa HHB-10118-sp,3018,2363,1286,2850,3141,2843,2036,2932,3952
675635,Pseudonocardia dioxanivorans CB1190,3507,3330,1493,3541,4982,2090,1123,2739,1606
1404245,Corynebacterium glyciniphilum AJ 3170,5085,10017,890,2305,3575,780,431,970,353
1150837,Didymella exigua CBS 183.55,3265,2237,1097,2457,5724,2631,1389,3640,1902
1423351,Rhizoctonia solani 123E,4972,4215,1115,2802,3520,1951,1586,2816,1322
1077348,Ganoderma sinense ZZ0214-1,2751,2211,1038,2681,2706,3133,2309,4547,2715
1442371,Fonsecaea multimorphosa CBS 102226,2300,2193,973,2475,3246,4661,2295,4444,1483
930992,Suillus luteus UH-Slu-Lm8-n1,3884,3066,1262,3158,3638,1949,1941,2708,2182
1182542,Capronia epimyces CBS 606.96,2738,2778,1079,2843,3131,2948,2337,3191,2732
1447872,Emergomyces pasteurianus Ep9510,3783,3698,1187,3173,5258,1459,838,3163,1112
887700,Acetobacter aceti NBRC 14818,2815,3029,1446,3402,4426,3199,948,2322,1953
1242864,Cystobacter fuscus DSM 2262,4266,3384,1209,3789,4596,1435,1194,1844,1813
1408163,Rasamsonia emersonii CBS 393.64,2803,2314,1291,3023,2694,3073,1880,3782,2628
759272,Chaetomium thermophilum var. thermophilum DSM 1495,2181,2097,1131,2235,2612,3741,2054,5393,2038
1296100,Kwoniella bestiolae CBS 10118,1874,1938,684,1624,2026,4714,1831,5581,3136
1299333,Mycobacterium xenopi 3993,3577,3082,1242,3503,3635,1869,1104,3442,1920
1111071,Rhodoferax antarcticus ANT.BR,3939,3598,2261,3959,3731,830,824,3001,1120
1182545,Exophiala aquamarina CBS 119918,3149,3237,1163,2893,3631,1822,1699,3090,2517
1279043,Cladophialophora carrionii CBS 160.54,1969,1592,1016,1769,2360,5202,2592,3797,2877
1352936,Streptomyces roseochromogenus subsp. oscitans DS 12.976,2616,2655,1215,2781,2946,1888,2031,3490,3410
767744,Tortispora caseinolytica NRRL Y-17796,4848,3404,2116,3609,3799,1669,453,2480,540
1122177,Flavilitoribacter nigricans DSM 23189 = NBRC 102662,2938,3047,968,3410,5259,1455,816,4462,524
1448316,Aspergillus ibericus CBS 121593,2208,1960,888,2145,2378,2264,2782,2618,5581
1231190,Nitratireductor indicus C115,2265,2059,888,2747,2412,2421,1721,4830,3419
1450535,Aspergillus sclerotioniger CBS 115572,2725,2808,1596,2942,2124,1525,3016,4117,1869
1080344,Fusarium oxysporum f. sp. pisi HDV247,8750,3818,1928,3951,3537,199,113,271,129
1314785,Laetiporus sulphureus 93-53,2618,1982,951,2489,2588,3147,1857,4295,2749
1447875,Helicocarpus griseus UAMH5409,3691,2530,1050,2849,2747,4148,1332,2524,1766
460265,Methylobacterium nodulans ORS 2060,2955,2640,1072,2846,3027,2636,1839,3294,2218
1336337,Choiromyces venosus 120613-1,1656,1570,733,1509,1586,2542,7222,2652,2925
1331196,Kwoniella mangroviensis CBS 10435,1788,1391,805,2064,1642,6249,1778,2604,3986
1284197,Dactylellina haptotyla CBS 200.50,2558,2661,1403,3079,2445,2279,2189,3699,1953
1160705,Streptomyces viridochromogenes Tue57,2100,1997,712,2067,2102,5371,1524,3402,2987
767769,Aspergillus brasiliensis CBS 101740,3292,2535,2007,3011,3781,1678,1802,2241,1860
